Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability,Electricity Prices,Energy Subsidies
USA,2011,Solar,85404.69003,5549.794323,5604124938,1064007213,1.77528E+14,369654.6442,93087.1982,13413.18474,294399.3779,756878,1,8676561392,1,21.95602807,157.0134566,203.0385974,5.838375137,95.59797188,30.26799917,0.149868031,168820814.7
Australia,2008,Geothermal,22205.06938,43211.5938,636188589.2,1033255852,6.43537E+13,771781.6363,1752.536054,78493.98221,826531.6783,945074,0,4421451900,1,24.63325575,1336.003208,111.1330777,14.87291712,71.73461449,36.03694545,0.331143975,845225474.7
Canada,2013,Biomass,94102.73204,6139.117212,6158679594,14895124,1.56793E+14,342707.1529,65146.5925,41114.87219,43695.24019,588423,1,8568534293,1,13.5019338,357.5170578,159.9964423,3.473209591,84.02229222,54.59594824,0.157541181,257833727.4
Japan,2010,Biomass,88771.93291,40323.63926,8526116428,1448827283,1.35046E+14,498839.5743,50257.59101,42010.47594,840378.7967,11049,1,9958630991,0,1.090899563,2271.312021,297.163614,13.5755491,53.17173129,45.27613429,0.452970843,979826937.6
China,2018,Solar,93288.40858,30755.40306,5086237221,1499494307,8.67796E+13,819064.3628,63101.39556,17912.96194,162034.2543,225191,0,7608111766,1,30.6410219,2285.016014,133.2693777,14.96473876,46.42385929,93.72979603,0.058826791,676760614.7
India,2014,Wind,90483.64716,28526.81641,9359773764,796046057,1.20109E+13,363527.6978,81737.60005,79121.26501,132562.7863,816485,0,224698807,0,37.73960957,2457.028024,220.4361353,6.664297102,17.62275596,78.7585086,0.069662516,19569394.89
Germany,2014,Wind,5656.90599,20658.70473,7703453579,926881425,1.10481E+14,997437.3357,95825.29211,38129.25879,695687.1214,708461,1,7641579271,0,-1.998583502,721.5378944,256.7509535,10.96116215,89.33686008,32.29548661,0.498041253,200865724.7
Germany,2016,Biomass,63308.32777,47740.69969,2808873173,518729600,2.71119E+13,228249.1337,28094.8297,93865.63561,85869.94341,354460,0,7855940459,0,16.02709221,1314.221459,223.8367002,10.53494152,65.81909481,36.68772532,0.189516464,737798234.7
Japan,2015,Biomass,70560.47106,37648.71897,9095394363,104974272,6.08862E+13,121449.8361,61009.67437,26814.90515,833178.3576,339831,0,9601446561,0,13.80486445,2196.322424,299.8272389,1.38912586,51.8985093,26.05564728,0.498282135,829625319.7
Canada,2002,Wind,57780.09975,22408.24192,2810623524,1304327983,7.97934E+13,364330.104,32170.71827,54550.20269,146833.0751,938728,0,7050800475,1,0.901703493,779.8273183,252.4078562,1.011794644,95.34374214,15.13697223,0.296301191,134868198.9
Australia,2020,Hydro,3386.115429,39711.89794,3891812730,902409611,6.53414E+13,113964.3583,22082.90283,42793.31453,131626.6994,18034,0,4662931766,0,17.66324109,490.3062853,127.588077,4.404496047,16.99437018,0.840787692,0.431328055,193550375.8
France,2015,Biomass,35747.14937,11408.68573,9918204883,551826175,6.895E+13,746144.5281,39447.16216,3493.864321,232158.034,436217,1,4340263620,0,15.81470028,2663.811813,228.2955665,14.35689883,46.23169345,76.95521098,0.051998835,690285749.3
Japan,2003,Solar,37917.34062,25327.81972,2183215454,764933521,2.59562E+13,783683.4257,74787.85219,22775.01321,355712.5506,925420,0,3343911059,0,34.28723345,1313.728021,288.8518488,11.25874857,68.48155378,62.46540616,0.453138615,650720405.1
Brazil,2004,Geothermal,92392.05433,1451.957737,2450100983,431084272,9.58947E+13,228345.0277,44923.94584,43814.59765,815109.1193,460132,0,3022177261,0,-5.527712554,2629.157509,271.643296,12.13234861,60.9701425,21.6402829,0.438519309,11490883.08
China,2019,Solar,78755.09375,36288.85625,5635218482,979747287,1.32604E+14,361977.0277,75840.36556,31535.5804,858104.3245,942579,1,7342050242,1,13.22642603,1177.943036,254.0817023,1.180323957,73.55301661,94.12568836,0.152810637,938864170
Japan,2003,Wind,9627.661809,49361.19184,7899902429,1044627974,7.72791E+13,276418.2644,35864.96674,31746.77298,968724.0604,137272,0,464811092.6,0,-1.063679291,2687.442989,112.3499481,1.506654989,13.99922671,45.16770331,0.17298739,386381634.9
